Investor Name,Investor Name URL,Number of Investments,Number of Exited Companies,Location,Investor Type,Description,Website,Twitter,Facebook,LinkedIn,Number of Portfolio Companies,Number of Lead Investments,Program Type,Next Application Deadline,Program Duration,Crunchbase Rank,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
3one4 Capital,https://www.crunchbase.com/organization/3one4,23,,"Bangalore, Karnataka, India",Venture Capital,3one4 Capital is an early-stage venture capital fund.,http://www.3one4capital.com/,https://twitter.com/3one4Capital,https://www.facebook.com/3one4capital,https://www.linkedin.com/company/10554430,21,2,,,,"2,260",-0.3,-0.1,4.9
Founders Circle Capital,https://www.crunchbase.com/organization/founders-circle-capital,23,7,"San Francisco, California, United States",Venture Capital,Founders Circle Capital is a California-based liquidity firm that invests in venture-backed startups.,http://www.founderscircle.com,https://twitter.com/founderscc,https://www.facebook.com/FoundersCircleCapital/,https://www.linkedin.com/company/founders-circle-capital,15,17,,,,"2,717",0.3,-0.2,-1.3
MSA,https://www.crunchbase.com/organization/magic-stone-alternative,23,,"Beijing, Beijing, China",Venture Capital,"A private equity fund that focuses on direct growth to late stage investments in Chinese TMT, consumer, and healthcare companies.",http://www.msainvest.com/,,,,19,,,,,"3,030",0.3,-0.2,2.1
Graph Ventures,https://www.crunchbase.com/organization/graph-ventures,23,3,"San Francisco, California, United States",Venture Capital,"Early stage investment group. With operations in San Francisco Bay area, New York, Brazil, Canada, Japan and Europe.",http://www.graphventures.com,https://twitter.com/graphventures,,,23,,,,,"3,875",0.5,1.0,-1.1
Andy Weissman,https://www.crunchbase.com/person/andy-weissman,23,5,"New York, New York, United States",Angel,"Andy Weissman is a partner at Union Square Ventures. Andy began his career in the Internet in the mid-90s. Prior to joining USV, in 2007 he co-founded betaworks, which both created and invested in social, real-time applications and services. Andy was born in New York City and has a BA from Wesleyan University and a JD from Georgetown.",,http://twitter.com/aweissman,http://www.facebook.com/aweissman,http://www.linkedin.com/in/andrewweissman,16,6,,,,"5,313",-0.4,-1.3,-2.0
PLUS Ventures,https://www.crunchbase.com/organization/plus-ventures,23,1,"Ramat Gan, Tel Aviv, Israel",Venture Capital,Plus Ventures is a multi-stage investment firm specializing in early-stage growth technology and media companies.,http://plusventures.co.il,,,http://www.linkedin.com/company/2952689,18,1,,,,"6,249",0.7,1.5,0.9
CID Group,https://www.crunchbase.com/organization/cid-group,23,7,"Shanghai, Shanghai, China",Private Equity Firm,The CID Group is a private equity and venture capital firm specialized in early- and late-stage venture investments.,http://www.cidgroup.com/,,,,16,4,,,,"8,752",-0.2,-0.2,-0.2
i2E,https://www.crunchbase.com/organization/i2e,23,,"Oklahoma City, Oklahoma, United States",Venture Capital,"i2E, Inc. is a private not-for-profit Oklahoma corporation that invests in technology-based entrepreneurs and companies within Oklahoma.",http://www.i2e.org,http://twitter.com/i2E_Inc,http://www.facebook.com/okgovcup,,20,7,,,,"10,636",0.4,0.0,-0.2
Baillie Gifford,https://www.crunchbase.com/organization/baillie-gifford,22,1,"Edinburgh, Edinburgh, City of, United Kingdom",Venture Capital,Baillie Gifford is a British company focused on investment and asset management.,http://www.bailliegifford.com,https://www.twitter.com/bailliegifford,,,21,9,,,,946,1.2,1.5,1.0
Innovation Nest,https://www.crunchbase.com/organization/innovation-nest,22,,"Kraków, Malopolskie, Poland",Micro VC,Innovation Nest is an early-stage seed fund focused on investments in European B2B SaaS startups,http://www.innovationnest.co,http://twitter.com/innovationnest,http://www.facebook.com/innovationnest,http://www.linkedin.com/company/2279786,19,1,,,,"3,192",-0.2,-0.7,4.2
E-Merge,https://www.crunchbase.com/organization/emerge,22,3,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Venture Capital,E-Merge invests in telecommunications and e-commerce startups and is a Brussels-based early-stage venture capital firm.,http://www.emerge.be,http://twitter.com/emerge_be,,,20,4,,,,"4,613",-0.3,-1.1,-1.8
Northcap,https://www.crunchbase.com/organization/northcap,22,4,"Copenhagen, Hovedstaden, Denmark",Venture Capital,"Northcap is a venture capital company that provides seed, early, and growth stage funds and support for ICT companies.",http://www.northcap.vc,http://twitter.com/Northcapvc,,http://www.linkedin.com/company/northcap-partners,19,6,,,,"5,441",0.1,0.9,-0.1
Plough Penny Partners,https://www.crunchbase.com/organization/plough-penny-partners,22,10,"New York, New York, United States",Family Investment Office,Plough Penny Partners is a private investment firm focused on publicly traded and privately-held companies.,http://www.ploughpenny.com,,,,22,,,,,"5,468",0.0,2.7,3.1
HR Ventures,https://www.crunchbase.com/organization/hr-ventures,22,2,"Dreieich, Hessen, Germany",Corporate Venture Capital,Early stage venture capital firm with the focus on Travel Tech in Europe.,http://www.hr-ventures.com,https://twitter.com/HRVenturesVC,https://www.facebook.com/HRVenturesVC,https://www.linkedin.com/company/5296727?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A5296727%2Cidx%3A2-1-2%2CtarId%3A1458340115868%2Ctas%3Ahr%20ventures,16,2,,,,"5,974",-0.6,-1.1,-0.8
Eric Liaw,https://www.crunchbase.com/person/eric-liaw-2,22,6,"San Francisco, California, United States",Angel,"Eric Liaw joined Institutional Venture Partners (IVP) in 2011. He is focused primarily on later-stage investments in high growth companies across a variety of sectors including enterprise software, Internet, and mobile. Eric serves as a Board Director or Observer for IVP portfolio companies AdRoll, The Honest Company, Mindbody, OnDeck, RetailMeNot (SALE), Supercell, Wikia, and ZipRecruiter and led IVP's investments in GitHub and Klarna. He previously served as a Board Director for Dropcam (Nest). Prior to joining IVP, Eric was with Technology Crossover Ventures (TCV) where he completed minority and control investments in private and public companies across the Internet and software sectors. Eric was actively involved in originating, executing and managing a number of investments, including: Adknowledge, Altiris (acquired by Symantec), eHarmony, Fandango (acquired by Comcast), Global Market Insite (acquired by WPP), Intelligent Beauty, Netflix (NFLX), TechTarget (TTGT), Tiny Print",,http://twitter.com/eliaw,,http://www.linkedin.com/in/ericliaw,13,9,,,,"7,445",0.0,-0.1,-0.6
Startupbootcamp Istanbul,https://www.crunchbase.com/organization/startupbootcamp-istanbul,22,,"London, England, United Kingdom",Venture Capital,Startupbootcamp Israel is a mentor-driven program that provides support and connections to accelerate a startup's growth.,http://www.startupbootcamp.org/,https://twitter.com/sbcistanbul,http://www.facebook.com/startupbootcamp,http://www.linkedin.com/company/667454,21,2,,,,"7,500",-1.4,-3.0,-1.5
Ertan Can,https://www.crunchbase.com/person/ertan-can,22,2,"Frankfurt, Hessen, Germany",Angel,"Ertan Can is heading the venture capital direct and fund investments at HR Ventures. He has invested in more than 20 early stage technology startups and holds several active board seats. He studied International Finance & Law in Frankfurt and London and holds an MBA from ESCP, Paris.",,https://twitter.com/rtancan,https://www.facebook.com/ertan.can,http://de.linkedin.com/pub/ertan-can/7/641/535,16,2,,,,"10,098",0.1,-0.2,0.7
Washington Post,https://www.crunchbase.com/organization/washington-post,21,6,"Washington, District of Columbia, United States",,Washington Post is an American newspaper and website that features news insights on various topics.,https://www.washingtonpost.com/,http://twitter.com/washingtonpost,http://www.facebook.com/washingtonpost,http://www.linkedin.com/company/the-washington-post,17,1,,,,525,-0.1,0.4,1.3
Hearst Corporation,https://www.crunchbase.com/organization/hearstcorporation,21,10,"New York, New York, United States",,"The Hearst Corporation is an American multinational mass media group that publishes daily and weekly newspapers, and magazines.",http://www.hearst.com,https://twitter.com/HearstCorp,https://www.facebook.com/HearstCorp,https://www.linkedin.com/company/hearst,19,4,,,,"1,255",-0.3,-0.6,1.9
C4 Ventures,https://www.crunchbase.com/organization/c4-ventures,21,1,"London, England, United Kingdom",Venture Capital,"Focused on early stage startups based in Europe and later stage startups seeking to expand into European markets. Hardware, Commerce.",http://c4v.com/,https://twitter.com/c4ventures,,https://www.linkedin.com/company/c4-ventures,18,1,,,,"1,799",-0.4,-0.9,2.8
Gannett Co Inc,https://www.crunchbase.com/organization/gannett,21,3,"Mclean, Virginia, United States",,Gannett is a media and marketing solutions company that publishes newspapers and operates news and advertising internet sites.,http://www.gannett.com,https://twitter.com/gannett,https://www.facebook.com/GannettCompany,https://www.linkedin.com/company/gannett,15,6,,,,"2,126",-0.6,-2.0,-1.7
United Ventures,https://www.crunchbase.com/organization/united-ventures,21,1,"Milan, Lombardia, Italy",Venture Capital,"United Ventures is a Milan-based stage agnostic venture capital firm focused on consumer internet, software, and mobile companies.",http://www.unitedventures.it,http://twitter.com/unitdventures,http://www.facebook.com/UnitedVenturesOne,http://www.linkedin.com/company/2985061,14,6,,,,"4,264",0.2,0.0,0.3
Media Camp,https://www.crunchbase.com/organization/media-camp,21,2,"Burbank, California, United States",Accelerator,Media Camp is an accelerator program that educates entrepreneurs and enables them to build media businesses.,http://www.mediacamp.com,http://twitter.com/themediacamp,http://www.facebook.com/TheMediaCamp,http://www.linkedin.com/company/media-camp,17,,,05/31/2015,,"5,616",0.0,0.8,1.4
Employee Stock Option Fund (ESO Fund),https://www.crunchbase.com/organization/eso-fund,21,16,"San Mateo, California, United States",Secondary Purchaser,ESO Fund provides funding for employees of venture-backed companies to absorb the financial risk of exercising stock options.,http://www.employeestockoptions.com,https://twitter.com/ESOFUND,http://www.facebook.com/esofund,http://www.linkedin.com/company/employee-stock-option-fund-eso-fund,18,1,,,,"7,547",0.0,-0.5,-1.2
SanomaVentures,https://www.crunchbase.com/organization/sanomaventures,21,2,"Hoofddorp, Noord-Holland, The Netherlands",Co-working Space,"SanomaVentures is a venture capital subsidiary focused on investments in tech startups in media and marketing, e-commerce, and education.",http://www.sanomaventures.com,http://twitter.com/sanomaventures,,,18,2,,,,"8,356",0.4,0.0,-0.4
Jake Cohen,https://www.crunchbase.com/person/jake-cohen-3,21,,"Detroit, Michigan, United States",Angel,"Co-Founder of eatBlue.com, Ugrub.com and Ubars.com. JD, MBA, BA from U of M. Wolverine Venture Fund alum. Wishes Trey Burke would stay for four years",,http://twitter.com/jakeDVP,,http://www.linkedin.com/in/jacobdavidcohen,12,19,,,,"16,751",-0.7,-1.4,-1.8
Ratan Tata,https://www.crunchbase.com/person/ratan-n-tata,20,,"Mumbai, Maharashtra, India",Angel,"Heading the Tata Group since 1991, Ratan Tata is the Chairman of Tata Sons, holding company of the Tata Group and major Group companies including Tata Motors, Tata Steel, Tata Consultancy Services, Tata Power and more. He is also Chairman of two of the largest private sector promoted philanthropic trusts in India. During his tenure, the Group has further expanded its global reach, with its revenues growing over eleven-fold to around USD$70 billion, after the most recent acquisition of Jaguar Land Rover.  Tata joined the Tata Group in December 1962. After serving in various companies, he was appointed the Director-in-Charge of the National Radio & Electronics Company Limited (Nelco) in 1971. In 1981, he was named Chairman of Tata Industries, the Group's other holding company, which he was responsible for transforming into the Group's strategy think-tank and a promoter of new ventures in high-technology businesses. He is associated with many organizations in India and abroad in varyin",,https://twitter.com/rntata2000,,http://www.linkedin.com/pub/sir-ratan-naval-tata/53/985/b15,20,6,,,,669,-0.4,0.0,4.0
Knoll Ventures,https://www.crunchbase.com/organization/knoll-ventures,20,3,"Atlanta, Georgia, United States",Venture Capital,"Knoll Ventures invests in early stage companies with passionate leadership teams, actionable growth strategies and innovative products.",http://www.knollventures.com,,,,15,1,,,,"3,732",0.1,-0.1,-0.1
JPMorgan Investment,https://www.crunchbase.com/organization/j-p-morgan,20,7,"New York, New York, United States",Investment Bank,"J.P. Morgan is a leader in financial services, offering solutions to clients in more than 100 countries with one of the most comprehensive",http://www.jpmorgan.com/pages/jpmorgan,,,,19,8,,,,"4,393",0.0,0.0,-0.8
Arch Grants,https://www.crunchbase.com/organization/arch-grants,19,,"St Louis, Missouri, United States",Startup Competition,Arch Grants accelerates economic development and community revitalization in St. Louis through entrepreneurship and philanthropy.,http://archgrants.org,http://twitter.com/ArchGrants,http://www.facebook.com/pages/Arch-Grants/309191642464919,http://www.linkedin.com/company/arch-grants,16,,,,,"2,306",0.3,0.9,1.9
Capital Today,https://www.crunchbase.com/organization/capital-today,19,3,"Shanghai, Shanghai, China",Private Equity Firm,Capital Today is a Chinese independent private equity firm that caters to small and medium sized companies.,http://capitaltoday.com/eng/index.html,,,,14,6,,,,"4,263",-0.1,-0.7,-0.5
HDS Capital,https://www.crunchbase.com/organization/hds-capital,19,3,"New York, New York, United States",,"HDS Capital invests in, mentors, and provides access and contacts to startups at the intersection of technology, retail and fashion.",http://hdscapital.com,,,http://www.linkedin.com/company/hds-capital,18,1,,,,"5,789",-0.1,-0.2,-1.1
Cambrian Ventures,https://www.crunchbase.com/organization/cambrian-ventures,19,7,"Livermore, California, United States",Venture Capital,Cambrian Ventures is a technology research and venture capital firm. They target disruptive technologies/applications and typically get,http://www.cambrianventures.com,,,,14,,,,,"6,324",0.2,0.2,-0.2
Atlanta Technology Angels,https://www.crunchbase.com/organization/atlanta-technology-angels,19,4,"Atlanta, Georgia, United States",Angel Group,Atlanta Technology Angels (ATA) is an organization comprised of active and accredited angel investors who share the goal of making,http://www.angelatlanta.com,http://twitter.com/Angel_Atlanta,http://www.facebook.com/AtlantaTechnologyAngels,http://www.linkedin.com/company/508981,17,4,,,,"10,389",-0.3,-1.1,-1.4
Kevin Henrikson,https://www.crunchbase.com/person/kevin-henrikson,19,5,"San Francisco, California, United States",Angel,"Kevin Henrikson is a San Francisco-based entrepreneur, angel investor, and engineer. Today he leads engineering for Microsoft Outlook on iOS, Android, and Mac. Before, Kevin co-founded Acompli  which Microsoft acquired in 2014 for $200M. Kevin graduated from UCLA (BS Engineering) in 2000. His early career included operations and technical leadership roles for Federal Express, iSearch (SAAS startup), and Openwave Systems, a mobile Internet software solutions company. In 2005 he joined Zimbra, an enterprise collaboration and messaging startup and quickly advanced to Director of Engineering, building and managing a team to develop enterprise and mobility technologies. In 2007 Zimbra was acquired by Yahoo! for $350M. In 2010 he continued as a Senior Director of Engineering after Zimbra was re-acquired by VMWare, directing Zimbra's engineering and development roadmap planning and execution, including potential company acquisitions. His achievements include steering the successful t",,http://twitter.com/KevinHenrikson,http://www.facebook.com/kevinhenrikson,http://www.linkedin.com/in/kevinhenrikson,18,,,,,"12,431",-0.2,-0.2,-0.7
Jean-David Chamboredon,https://www.crunchbase.com/person/jean-david-chamboredon,19,3,"Paris, Ile-de-France, France",Angel,"Jean-David started his carreer at Cap Gemini where he spent 13 years and launched the Cap Gemini Telemedia Lab in the Silicon Valley in 1997. He jumped into the Private Equity space in 1999, first as CTO for Europatweb, then Viventure as Partner. He subsequently spent 6 years at 3i Group Plc. as Partner at its French office for Venture and TMT. His track record includes SeLoger (IPO Euronext), Screentonic (acquired by Microsoft), Okyz (acquired by Adobe), highdeal (acquired by SAP), Netonomy (acquired by Comverse), Priceminister (acquired by Rakuten), Fastbooking (acquired by Accor Hotels), Stickyads.tv (acquired by Comcast), BlaBlaCar… Jean-David was unintentionally at the start and then spokesperson of the Pigeons movement (an initiative to challenge a new tax law that could have strongly impaired entrepreneurship in France). He is a founding member and co-chairman of the France Digitale Association, which promotes digital entrepreneurship in France. Graduated from the Ecole",,http://twitter.com/isai_fr,,http://fr.linkedin.com/in/jeandavidchamboredon,12,4,,,,"14,028",0.1,1.6,0.6
Terry Opdendyk,https://www.crunchbase.com/person/terry-opdendyk,19,2,"San Francisco, California, United States",Angel,"Terry Opdendyk is the Founder & General Partner of ONSET Ventures. He founded ONSET Ventures in 1984 and has specialized in working with information and medical technology start-ups for more than 30 years.  Prior to launching the firm, Terry was President of VisiCorp, guiding the software publishing company from inception into an industry leader. Early in his career, Terry worked as a Technical Manager for Hewlett-Packard and later headed Intel Corporation’s microcomputer systems business and microprocessor development activities. At ONSET Ventures, Terry maintains a broad spectrum of investment interests. He serves on the boards of both public and private companies and has helped guide start-ups from initial concepts to world-class companies including, Adaptive Planning, APX, Arcot Systems, Callidus Software, Nektar Therapeutics, NetSeer, Oddmobb, Sentilla, Truviso . Terry received a B.S. from the Michigan State University Honors College. An M.S. from Stanford University. ",,,,http://www.linkedin.com/pub/terry-opdendyk/0/7b/91,8,4,,,,"17,768",-0.2,-0.5,-0.5
Cervin Ventures,https://www.crunchbase.com/organization/cervin-ventures,18,4,"Menlo Park, California, United States",Venture Capital,"Cervin Ventures is a seed and early stage venture firm, focusing solely on opportunities in the B2B software space",http://cervinventures.com,http://twitter.com/cervinventures,http://www.facebook.com/cervinventures,,15,6,,,,"4,664",0.6,-1.0,-1.6
TNF Ventures,https://www.crunchbase.com/organization/tnf-ventures,18,2,"Singapore, Central Region, Singapore",Venture Capital,TNF Ventures is an investment advisory firm focused on local startups in Singapore’s central region.,http://www.tnfventures.com,http://twitter.com/tnfventures,http://www.facebook.com/tnfventures,,18,2,,,,"5,977",0.4,0.4,-1.6
Prototron,https://www.crunchbase.com/organization/prototron1,18,,,Non-Equity Program,Prototron is the first start-up prototyping fund in Europe. Its provide equity free funding to startups for building their IoT prototype.,http://www.prototron.ee,https://twitter.com/prototron_ee,http://www.facebook.com/prototron.ee,http://www.linkedin.com/company/3797453,18,18,,03/01/2017,2 months,"7,117",-0.5,2.1,6.0
Jules Maltz,https://www.crunchbase.com/person/jules-maltz,18,3,"San Francisco, California, United States",Angel,"Jules Maltz joined Institutional Venture Partners (IVP) in August 2008 and has over 10 years of venture capital and start-up experience. He focuses on later-stage venture investments in rapidly growing Internet and software companies. Jules led IVP's investments in Buddy Media and Dropbox and was actively involved in IVP's investments in LivingSocial, Marketo, Ngmoco (DeNA), Spiceworks, Sugar, Twitter and Yext. Jules currently serves on the board of directors of Buddy Media, H5 and Yext. Prior to IVP, Jules worked for 3i, a leading global venture capital firm. He evaluated early and later-stage Internet, mobile and software investments, and he completed transactions for companies such as BlueLithium, Fotolog, Omniture (ADBE) and Trovix.",,http://twitter.com/julesmaltz,http://www.facebook.com/julesmaltz,http://www.linkedin.com/in/julesmaltz,11,4,,,,"8,311",-0.2,0.0,-0.3
iSherpa Capital,https://www.crunchbase.com/organization/isherpa-capital,18,5,"Greenwood Village, Colorado, United States",Venture Capital,"iSherpa Capital invests in seed-stage and early-stage companies, while providing follow-on financing throughout the companyâ€™s life cycle.",http://www.isherpa.net,,,,13,5,,,,"15,476",0.6,-0.2,-0.8
Justin Caldbeck,https://www.crunchbase.com/person/justin-caldbeck,17,4,"San Francisco, California, United States",Angel,"Justin Caldbeck is a Co-Founder and Managing Partner at Binary Capital since July 2014.  Previously, Justin was a Managing Director at Lightspeed Venture Partners from January 2011 to June 2014. Justin invested primarily in the Internet and mobile sectors with a focus on social media, e-commerce and enterprise software. Justin’s past investments include Bloomreach, GrubHub, PetFlow and TaskRabbit. Justin has also been a Board Member or Board Observer for numerous successful companies including TheFind, INRIX, Adready, Magazine Radar, Oyster.com and DNA Games.  Before joining Lightspeed, Justin was a Partner at Bain Capital Ventures and was responsible for launching the firm’s West Coast office. Justin was both a Member of the Board of Directors and Board Observer for a wide variety of consumer internet, enterprise software, and business services companies, including BloomReach, TheFind, Adready, INRIX, DNA Games, Oyster.com, and Magazine Radar.  Before Bain Capital Ventures, J",,https://twitter.com/caldbeckj,http://www.facebook.com/Lightspeed,http://www.linkedin.com/company/lightspeed-venture-partners,12,3,,,,"3,158",0.0,0.5,1.2
Banyan Capital,https://www.crunchbase.com/organization/banyan-capital,17,,"Beijing, Beijing, China",,"Banyan Capital manages three USD funds and one RMB fund, with more than US$700M under management.",http://www.banyanvc.com/,,,,14,2,,,,"3,279",-0.3,-1.2,-1.3
Heliad Equity Partners GmbH & Co. KGaA,https://www.crunchbase.com/organization/heliad-equity-partners,17,3,"Frankfurt, Hessen, Germany",Private Equity Firm,Heliad Equity Partners is an investment firm that focuses on Germanic entrepreneurs who face special situations in their businesses.,http://www.heliad.de,https://twitter.com/Heliad_EP,https://www.facebook.com/HELIAD.DE/?ref=aymt_homepage_panel,https://www.linkedin.com/company/heliad-equity-partners-gmbh-&-co-kgaa?trk=biz-companies-cym,12,1,,,,"3,299",-0.4,4.0,7.1
Scott Kurnit,https://www.crunchbase.com/person/scott-kurnit,17,5,"New York, New York, United States",Angel,"Scott Kurnit is the Founder and Chief Executive Officer at Keep Holdings Inc., the operator of Keep.com and TheSwizzle.com. Keep Holdings is the fourth company Scott has founded.  Scott founded and served as Chairman of the Board of Directors and Chief Executive Officer at About, Inc. as it grew to a public market value exceeding $1.5 billion (About has been owned by The New York Times Co. and is now owned by IAC). During his tenure, About was the fifth most visited web property and first among news, information and entertainment sites.  Scott, a holder of four patents, led the team that put the first web browser into an online service, started the first Pay Per View cable network and co-led the team that implemented the first use of national caller ID. Scott was also the youngest Program Director in the PBS system and served as Program Director for Qube, the world’s first fully interactive cable system.  Scott was President of Showtime Event Television when it generated the l",,https://twitter.com/kurnit,,http://www.linkedin.com/pub/scott-kurnit/0/13/993,16,,,,,"4,851",-0.3,-0.9,1.3
Trailblazer Capital,https://www.crunchbase.com/organization/trailblazer-capital,17,1,"Dallas, Texas, United States",Venture Capital,Trailblazer Capital is a venture capital firm investing in early-stage and startup companies in the network and telecommunications sectors.,http://www.trailblazercapital.com,,,,9,6,,,,"6,691",0.2,0.4,-0.8
MI Ventures,https://www.crunchbase.com/organization/mi-ventures,17,2,"New York, New York, United States",Venture Capital,MI Ventures is a seed-stage startup capital investor focused on investments in technology companies in New York.,http://www.miventuresllc.com,https://www.twitter.com/miventuresllc,,http://www.linkedin.com/company/mi-ventures-llc,15,,,,,"7,134",0.2,0.7,-0.4
RTA Capital,https://www.crunchbase.com/organization/rta-capital,17,1,,Angel Group,RTA Capital LLC is a seed stage venture capital firm focused on information technology investments.,http://rtacapital.com,,,,15,,,,,"11,286",0.2,0.9,-0.9
New World Angels,https://www.crunchbase.com/organization/new-world-angels,16,,"Boca Raton, Florida, United States",Angel Group,New World Angels is an investment group dedicated to providing equity capital to early-stage entrepreneurial companies in Florida.,http://www.newworldangels.com,,,,14,10,,,,"4,979",-0.5,-1.5,-4.2
Mark Friedgan,https://www.crunchbase.com/person/mark-friedgan,16,3,"Chicago, Illinois, United States",Angel,Mark Friedgan is an early stage investor in startups. His background is in online consumer financial services.,,http://twitter.com/hubrix,http://www.facebook.com/hubrix,http://www.linkedin.com/in/hubrix,15,,,,,"10,365",0.3,1.2,0.3
Berthold von Freyberg,https://www.crunchbase.com/person/berthold-von-freyberg,16,3,"Munich, Bayern, Germany",Angel,"Berthold von Freyberg, Partner, brings 21 years of venture capital and technology experience in Germany and the USA to the partnership. He co-founded Target Partners with his partners Waldemar Jantz and Kurt Müller in 1999. Prior to that, Berthold was an investment manager with TVM Capital. From 1994 to 1997, he worked as program manager of the Office product division at Microsoft in Seattle where he led design and development projects for Office 95, Office 97 and FrontPage 98. Between 1989 and 1993, Berthold conducted research at ETH (Eidgenössische Technische Hochschule) in Zurich and at the Russian Academy of Sciences in Moscow. He has a diploma and a doctorate in physics from ETH as well as an MBA from INSEAD. Berthold is chairman of the advisory boards at GameGenetics GmbH, So1 GmbH, SuitePad GmbH, Treasury Intelligence Solutions GmbH and at BM12 Software as a Solution GmbH (trecker.com), and a member of the advisory boards at 1-2-3.TV GmbH and hetras GmbH. He was also",,http://twitter.com/bvfreyberg,https://www.facebook.com/berthold.freyberg,http://de.linkedin.com/in/bertholdvonfreyberg,10,7,,,,"12,846",-0.1,-0.2,0.7
Nilanjana Bhowmik,https://www.crunchbase.com/person/nilansana-bhowmik,16,4,"Boston, Massachusetts, United States",Angel,"Nilanjana is a General Partner with Longworth and focuses on infrastructure, SaaS enterprise software and mobile investments.",,,,http://www.linkedin.com/in/nilanjanabhowmik,10,8,,,,"15,735",-0.2,-0.4,-1.3
Chun Xia,https://www.crunchbase.com/person/chun-xia,16,,"San Francisco, California, United States",Angel,"Chun Xia is the Managing Director and founding member of TEEC Angel Fund. Located in Silicon Valley, USA, TEEC Angel Fund provides seed funding to startups in mobile Internet, software, semiconductors, communication/networking, medical devices, clean tech etc. Concurrent to his role at TEEC Angel Fund, Chun is the founder and CEO of Mash5 Technologies, a company that focuses social mobile cloud on IoE for smart devices. Mash5 is dedicated to help enterprises improve experience, reduce cost and transform business by consolidating technologies, products and operations. It is headquartered in Silicon Valley and with operations in Beijing and Suzhou. From 2000 to 2001, Chun was President and CTO of Thinkmart, which offers web marketing solutions for small to medium intellectual service providers, including legal, accounting, design, and other 20 sectors. In addition, Chun was the co-founder and CTO of brightinfo.com from 1998 to 2000, a company that was the leader in e-merchandis",,,,http://www.linkedin.com/pub/chun-xia/0/92a/805,14,1,,,,"21,884",-0.5,-0.8,-1.1
Deutsche Telekom,https://www.crunchbase.com/organization/deutsche-telekom,15,2,"Bonn, Nordrhein-Westfalen, Germany",,Deutsche Telekom is a telecommunications company that offers a range of fixed-network services.,http://www.telekom.com/,http://twitter.com/deutschetelekom,http://www.facebook.com/deutschetelekom,http://www.linkedin.com/company/telekom,15,5,,,,849,0.0,0.4,0.5
Sofina,https://www.crunchbase.com/organization/sofina,15,4,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Family Investment Office,Sofina is an investment company based in Belgium that supports entrepreneurs and families managing growing companies.,http://www.sofina.be,,,,10,5,,,,"3,835",0.0,0.4,-1.1
Jim Armstrong,https://www.crunchbase.com/person/jim-armstrong,15,4,"Santa Monica, California, United States",Angel,"A successful and experienced early stage venture investor across a variety of enterprise and consumer facing technology companies, Jim has established himself as a leading investor based in Southern California. Since joining Clearstone early in its formation, Jim has applied his experience and industry contacts to help companies deliver a strong record of venture performance.  Jim invests nationwide, and his work at Clearstone focuses on information technology investments, with particular interest in consumer Internet, gaming, application software, and Internet enabled business processes. On several occasions, Forbes Magazine has recognized Jim on its “Midas List” as one of the top Venture Capitalists in the United States. Jim joined Clearstone Venture Partners in 1998 from Austin Ventures, a leading venture fund, where he spent three years supporting investments in early stage companies. Jim also worked with idealab, the incubator, in the late 90’s, helping to guide and fund a v",,http://twitter.com/MarchCps,,https://www.linkedin.com/pub/jim-armstrong/0/702/2a7,10,7,,,,"7,259",0.1,-0.1,-0.7
ABRT Venture Fund,https://www.crunchbase.com/organization/abrt,15,1,"San Francisco, California, United States",Venture Capital,ABRT is a venture capital firm that invests primarily in software and internet companies.,http://www.abrtfund.com,,,,10,3,,,,"7,308",0.1,0.3,-0.2
Jeff Pulver,https://www.crunchbase.com/person/jeff-pulver,15,1,"New York, New York, United States",Angel,"Jeff Pulver is an American internet entrepreneur known for his work as a founder and chief executive of pulver.com and co-founder of Free World Dialup, Vonage, and Zula (app). Pulver has been called a Voice-over-Internet-Protocol pioneer, and has written extensively on VoIP telephony, and the need to develop an alternative to government regulation of its applications layer. Pulver is the chief writer of Pulver Order, which was adopted in 2004 by the Federal Communications Commission as the first FCC ruling regarding Internet Protocol (IP) communications. He also organizes a conference series focusing on Twitter activities and strategy called 140 Characters Conference that is held in various locations around the world.",,http://twitter.com/jeffpulver,http://www.facebook.com/pages/Jeff-Keni-Pulver/37937269014,http://www.linkedin.com/pub/jeff-pulver/0/1/b50,14,,,,,"7,629",-0.1,-0.4,-2.8
Adam D’Angelo,https://www.crunchbase.com/person/adam-dangelo,14,3,"Palo Alto, California, United States",Angel,"Adam D’Angelo is a Founder and CEO of Quora. He previously served as Chief Technology Officer at Facebook, where he oversaw new product development and managed the engineering team. In addition, he guided the site’s architecture and infrastructure to ensure scalability as the site expanded. Prior to serving as CTO, Adam led the Facebook Platform team and, as an engineer, built the initial infrastructure for news feed, ad targeting and delivery, and worked on scalability and optimization. He holds a Bachelor’s degree in Computer Science from the California Institute of Technology.",,https://twitter.com/adamdangelo,,https://www.linkedin.com/in/dangelo,13,,,,,"3,151",0.2,0.3,4.3
